smiles,pKi
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(C2CCC2)CC1,6.961313312214353
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(C2CCCC2)CC1,8.657577319177793
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(C2CCCCO2)CC1,7.161150909262744
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(CC(C)C)CC1,7.886056647693163
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(Cc2ccccc2)CC1,6.823908740944319
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCNCC1,5.7055337738384075
CC(=O)N1CC(Oc2ccccn2)CC1C(=O)N1CCCN(C2CCC2)CC1,8.267606240177031
CC(=O)N1CC(Oc2cccnc2)CC1C(=O)N1CCCN(C2CCC2)CC1,8.221848749616356
CC(=O)N1CC(Oc2cccs2)CC1C(=O)N1CCCN(C2CCC2)CC1,8.431798275933005
CC(=O)N1CC(Oc2ccsc2)CC1C(=O)N1CCCN(C2CCC2)CC1,8.568636235841012
CC(=O)N1CCC(C(=O)Nc2ccc(C3CCC(N4CCCC4C)C3)cc2)CC1,6.928117992693874
CC(=O)N1CCC(Oc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1,8.198970004336019
CC(=O)N1CCN(CC(=O)Nc2ccc(OC3CCN(C4CCC4)CC3)cc2)CC1,8.26841123481326
CC(=O)N1CCN(CC(=O)c2ccc(OCCCN3CCCC3C)cc2)CC1,8.037860356969059
CC(=O)N1CCN(Cc2ccc(-c3ccc(CN4CCCCC4)cc3)cc2)CC1,7.76500163542368
CC(=O)N1CCN(Cc2ccc(-c3ccc(CN4CCN(C(C)=O)CC4)cc3)cc2)CC1,5.629999703468135
CC(=O)N1CCc2ccc(OCCCN3CCCCC3)cc2C1,7.573766102908842
CC(=O)N1CCc2ccc(OCCCN3CCCCC3)cc2CC1,7.682364307405533
CC(=O)N=c1cc2sc(N3CCC(N4CCCCC4)CC3)nc2c[nH]1,7.275724130399211
CC(=O)N=c1ccc(-c2cc3sc(N4CCC(N5CCCCC5)CC4)nc3cn2)c[nH]1,7.568636235841012
CC(=O)N=c1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)c[nH]1,7.899656668112006
CC(=O)NC(C)C(=O)N1CCCN(CCCOc2ccc(-c3noc(CC4CCCC4)n3)c(F)c2)CC1,8.048455006504028
CC(=O)NC(C)C(=O)N1CCN(CCCOc2ccc(-c3noc(CC4CCCC4)n3)c(F)c2)CC1,7.374789998845553
CC(=O)NC(CC(C)C)C(=O)N(C)C1CCC2(C)C(=CCC3C2CCC24CN(C)C(C)C2CCC34)C1,8.48011912592612
CC(=O)NC(Cc1ccccc1)C(=O)N(C)C1CCC2(C)C(=CCC3C2CCC24CN(C)C(C)C2CCC34)C1,8.789874925013788
CC(=O)NC1CC(=O)C2(C)CCC3c4ccc(OCCCN5CCCC5C)cc4CCC3C12,7.70446769648675
